,Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fees,Doctor_recommondations,Patient_stories,Doctor_availability
63,Dr. Pranjal Joshi,Dermatologist,12,Varsity Skin And Wellness Clinic,Shivalik,Delhi,900,95,27, Today
64,Dr. Vijay Singhal,Dermatologist,18,Zenith Skin Hair & Dental Centre,Punjabi Bagh,Delhi,800,93,152, Today
65,Dr. Nipun Jain,Dermatologist,26,Aura Skin Cosmetology Clinic,Dwarka,Delhi,800,98,233, Today
66,Dr. Jasmine Kohli,Dermatologist,4,Max Smart Superspeciality Hospital,Saket,Delhi,1000,71,2, Today
67,Dr. Jai Dhingra,Dermatologist,12,D'Care Skin & Dental Centre,Pitampura,Delhi,600,99,99, Today
68,Dr. Jyoti Gupta,Dermatologist,13,Dr Jyoti Gupta Dermatology Clinic,Panchsheel Enclave,Delhi,1500,98,199, Today
69,Dr. Ranjan Upadhyay,Dermatologist,19,Desmoderm Skin & Laser Clinic,Vasant Kunj,Delhi,1500,97,269, Today
71,Dr. Reeja Mariam George,Dermatologist,15,Oliva Skin & Hair Clinic,Park Street,Kolkata,600,100,71, Today
72,Dr. Debatri Datta,Dermatologist,8,Oliva Skin & Hair Clinic,Salt Lake,Kolkata,600,97,104, Today
73,Dr. Anupam Das,Dermatologist,8,IRIS Hospital,Baghajatin,Kolkata,600,100,2, Today
74,Dr. Khushbu Tantia,Dermatologist,10,La Derma Skin & Hair Clinic,Salt Lake,Kolkata,600,90,47, Today
75,Dr. Barnali Dutta,Dermatologist,27,Oliva Skin & Hair Clinic,Jodhpur Park,Kolkata,600,95,81, Today
76,Dr. Tripathy Sanjita,Dermatologist,17,Oliva Skin & Hair Clinic,Park Street,Kolkata,600,86,13, Today
77,Dr. Priyanka Aggarwal,Dermatologist,14,Re-Incarnation The Complete Skin Care Clinic,New Town,Kolkata,1000,93,43, Today
78,Dr. Farhat Fatima,Dermatologist,7,Oliva Skin & Hair Clinic,Jodhpur Park,Kolkata,600,100,6, Today
79,Dr. Nidhi jindal,Dermatologist,18,Oliva Skin & Hair Clinic,Salt Lake,Kolkata,600,97,42, Today
80,Dr. Soumya Kanti Datta,Dermatologist,5,La Derma Skin & Hair Clinic,Park Street,Kolkata,600,100,1, Today
161,Dr. Deepthi RK Shashidhar,Gynecologist/Obstetrician,16,First Care Clinic,Jayanagar 4 Block,Bangalore,600,98,361, Today
162,Dr. Deepak V Rao,Gynecologist/Obstetrician,32,Motherhood Hospital,Indiranagar,Bangalore,700,95,23, Today
163,Dr. M. Gowri,Gynecologist/Obstetrician,33,Queens Hospital,HSR Layout,Bangalore,700,91,272, Today
164,Dr. Garima Jain,Gynecologist/Obstetrician,26,Apollo Cradle & Children’s Hospital,Whitefield,Bangalore,800,95,54, Today
165,Dr. Kavitha Lakshmi Easwaran,Gynecologist/Obstetrician,26,Sai Speciality Center,Kasturi nagar,Bangalore,700,95,221, Today
166,Dr. Ashwini P,Gynecologist/Obstetrician,21,Motherhood Hospital,Indiranagar,Bangalore,700,91,121, Today
167,Dr. Archana Agarwal,Gynecologist/Obstetrician,30,Mannat Fertility & Gynecology Clinic,Marathahalli,Bangalore,700,85,211, Today
168,Dr. Vanita Vaishnav,Gynecologist/Obstetrician,14,Apollo Clinic,HSR Layout,Bangalore,600,98,63, Today
169,Dr. H S Chandrika,Gynecologist/Obstetrician,41,Chirag Hospital,JP Nagar 2 Phase,Bangalore,800,97,67, Today
170,Dr. Suman Singh,Gynecologist/Obstetrician,29,Manasi Clinic,BTM Layout 2nd Stage,Bangalore,700,93,766, Today
173,Dr. K. Suma,Gynecologist/Obstetrician,35,Prasad Infertility Solutions,Kukatpally,Hyderabad,700,93,146, Today
174,Dr. G Durga Rao,Gynecologist/Obstetrician,29,Oasis Fertility,Banjara Hills,Hyderabad,750,98,126, Today
175,Dr. Shalni .S,Gynecologist/Obstetrician,12,Hegde Hospital,Madhapur,Hyderabad,600,96,56, Today
176,Dr. Andal Reddy,Gynecologist/Obstetrician,23,Relief Clinic,Manikonda,Hyderabad,500,95,85, Today
177,Dr. Puja Lavania,Gynecologist/Obstetrician,17,Life Care Gynaecology Hospital,Chanda Nagar,Hyderabad,400,94,149, Today
178,Dr. M.Kalpana,Gynecologist/Obstetrician,17,Kasturi Multispeciality Hospital,Secunderabad,Hyderabad,500,87,30, Today
179,Dr. B Kiranmayee,Gynecologist/Obstetrician,14,Kiranmayee Women & Fertility Clinic,Nallagandla,Hyderabad,550,96,231, Today
180,Dr. K. Amrutha,Gynecologist/Obstetrician,12,Kadimi Nursing Home,Chanda Nagar,Hyderabad,400,92,22, Today
181,Dr. G Jayanthi,Gynecologist/Obstetrician,15,"J.S. Hospitals - Ortho, Maternity and General",Vanasthalipuram,Hyderabad,350,95,9, Today
182,Dr. P Tanuja,Gynecologist/Obstetrician,14,Aster Prime Hospital,Ameerpet,Hyderabad,500,100,6, Today
185,Dr. Shantha Rama Rao,Gynecologist/Obstetrician,50,Thulasi Krishna Nursing Home,Kodambakkam,Chennai,500,94,31, Today
186,Dr. Padmapriya Vivek,Gynecologist/Obstetrician,21,Gleneagles Global Health City,Perumbakkam,Chennai,700,91,176, Today
187,Dr. Florence Vasantha Praba,Gynecologist/Obstetrician,23,Cherub Fertility Clinic,Rajakilpakkam,Chennai,400,96,93, Today
188,Dr. K.S Jeyarani Kamaraj,Gynecologist/Obstetrician,35,Aakash Fertility Centre & Hospital,Vadapalani,Chennai,600,92,114, Today
189,Dr. Premalatha Balachandran,Gynecologist/Obstetrician,25,Fortis Malar Hospital,Adyar,Chennai,500,100,33, Today
190,Dr. Amudha Arumugam,Gynecologist/Obstetrician,32,The Mint Clinic,Anna Nagar East,Chennai,500,100,11, Today
191,Dr. Thamarai,Gynecologist/Obstetrician,27,Prolife Obstetrics And Gynaecology  Clinic & Scans,Manapakkam,Chennai,400,97,131, Today
192,Dr. Sasirekha Kumaran,Gynecologist/Obstetrician,23,Jeevan Women Care Clinic,Valasaravakkam,Chennai,500,97,199, Today
193,Dr. Sarala Jayaraman,Gynecologist/Obstetrician,39,Dr. Mehta's Hospitals,Chetpet,Chennai,500,100,1, Today
194,Dr. Rukkayal Fathima,Gynecologist/Obstetrician,12,Golden Clinic,Mylapore,Chennai,400,99,223, Today
196,Dr. Nikhil D Datar,Gynecologist/Obstetrician,32,Cloudnine Hospital,Malad West,Mumbai,1000,99,496, Today
197,Dr. Kishori Dinendra Kadam,Gynecologist/Obstetrician,39,Fortis Hospital,Mulund West,Mumbai,1300,90,24, Today
198,Dr. Rajendra S Sankpal,Gynecologist/Obstetrician,29,SAGE Hospital,Malad West,Mumbai,1000,98,66, Today
199,Dr. Shilpa Abhyankar,Gynecologist/Obstetrician,29,Parchure Nursing Home,Dadar East,Mumbai,800,97,135, Today
200,Dr. Gouri Sultane Gupta,Gynecologist/Obstetrician,20,DZIRE IVF,Goregaon West,Mumbai,1000,91,99, Today
201,Dr. Nanda R Kumar,Gynecologist/Obstetrician,20,Dr. Nanda R Kumar's Gynecology Clinic.,Chembur East,Mumbai,1000,89,118, Today
202,Dr. Punit Bhojani,Gynecologist/Obstetrician,20,BHOJANI CLINIC,Matunga,Mumbai,1000,99,74, Today
203,Dr. Shreedevi Tanksale,Gynecologist/Obstetrician,15,Little Miracles Fertility Clinic,Vileparle East,Mumbai,1000,99,125, Today
204,Dr. Tejal Poddar,Gynecologist/Obstetrician,12,Little Miracles Fertility Clinic,Opera House,Mumbai,1000,98,89, Today
205,Dr. Parzan Mistry,Gynecologist/Obstetrician,9,Gynafem -The Complete Gynaec & Fertility Solution Clinic,Nana Chowk,Mumbai,1000,100,29, Today
208,Dr. Jagrati Laad,Gynecologist/Obstetrician,19,Wombs Fertility and Reproductive Health Clinic,Baner,Pune,600,93,226, Today
209,Dr. Sarika Dahiphale,Gynecologist/Obstetrician,20,Coral Women's & Child Care Clinic & Fertility Center,Baner,Pune,700,98,227, Today
210,Dr. Mohita Goyal,Gynecologist/Obstetrician,23,Mohita Poly Clinic,Viman Nagar,Pune,600,95,289, Today
211,Dr. Manisha Munemane,Gynecologist/Obstetrician,28,Vatsalya Women's World,Wakad,Pune,600,94,401, Today
212,Dr. Nikhil Mahadar,Gynecologist/Obstetrician,16,Srushti Hospital,Wakad,Pune,400,99,260, Today
213,Dr. Sunita Umberkar,Gynecologist/Obstetrician,18,Dr. Sunita Umberkar's Women's Clinic,Bavdhan,Pune,500,99,243, Today
214,Dr. Anil Chittake,Gynecologist/Obstetrician,26,Embrio Ivf Centre,Baner,Pune,700,98,462, Today
215,Dr. Deepali Nirawane,Gynecologist/Obstetrician,20,ORanGE Health Care,Wakad,Pune,700,98,228, Today
216,Dr. Meghana Giri,Gynecologist/Obstetrician,18,GK Women's Care Clinic,Viman Nagar,Pune,400,95,92, Today
217,Dr. Bharati Dhorepatil,Gynecologist/Obstetrician,40,Shree Hospital,Nagar Road,Pune,600,89,37, Today
220,Dr. Madhu Ahuja,Gynecologist/Obstetrician,39,Cloudnine Hospitals,Patparganj,Delhi,1100,93,23, Today
221,Dr. Keerti Khetan,Gynecologist/Obstetrician,30,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1500,91,9, Today
222,Dr. Neha Khandelwal,Gynecologist/Obstetrician,19,FeHealth Clinic,Greater Kailash Part 1,Delhi,1200,99,488, Today
223,Dr. Shikha Gurnani,Gynecologist/Obstetrician,20,Bloom Vision Clinic,Dwarka,Delhi,800,98,687, Today
224,Dr. Pratibha Gupta,Gynecologist/Obstetrician,22,Healing Hands PG Gynaecology & Urology Center,Janakpuri,Delhi,600,95,392, Today
225,Dr. Sutopa Banerjee,Gynecologist/Obstetrician,26,Dr. Sutopa Banerjee's Complete Care for Women,Vasant Kunj,Delhi,1200,97,788, Today
226,Dr. Anuradha Dakour,Gynecologist/Obstetrician,19,Motherhood Clinic,Lajpat Nagar,Delhi,500,97,201, Today
227,Dr. Ruchi Tandon,Gynecologist/Obstetrician,18,SCI International Hospital,Greater Kailash Part 1,Delhi,1400,100,5, Today
228,Dr. Shalini Agarwal,Gynecologist/Obstetrician,23,Cloudnine Hospitals,Patparganj,Delhi,1100,99,202, Today
229,Dr. Alka Sinha,Gynecologist/Obstetrician,23,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1300,62,16, Today
232,Dr. Subidita Chatterjee,Gynecologist/Obstetrician,38,Body N Mind Cafe,Salt Lake,Kolkata,1000,90,280, Today
233,Dr. Sharmishtha Patra,Gynecologist/Obstetrician,25,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,700,85,65, Today
234,Dr. Arunima Haldar,Gynecologist/Obstetrician,14,Care N Cure Opticals And Wellness Centre,New Town,Kolkata,600,98,28, Today
235,Dr. Sunipa Chatterjee,Gynecologist/Obstetrician,11,Techno India Dama Healthcare & Medical Centre,Beliaghata,Kolkata,900,100,7, Today
236,Dr. Shamita Singhel,Gynecologist/Obstetrician,26,AMRI Hospitals,Salt Lake,Kolkata,500,100,8, Today
237,Dr. Arindam Rath,Gynecologist/Obstetrician,19,Apollo Fertility,Gobra,Kolkata,1000,100,6, Today
238,Dr. M. Padmaja Bhattacharya,Gynecologist/Obstetrician,29,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,900,96,29, Today
239,Dr. Ramna Banerjee,Gynecologist/Obstetrician,26,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1000,92,28, Today
240,Dr. Jayanta Kumar Gupta,Gynecologist/Obstetrician,41,Apollo Gleneagles Hospitals,Salt Lake,Kolkata,1100,83,9, Today
241,Dr. Sukhamoy Barik,Gynecologist/Obstetrician,16,Charnock Hospital,Teghoria,Kolkata,650,99,105, Today
243,Dr. Deepak Devakar,Dermatologist,19,Dermasculpt Hair Transplant and Skin Clinic,JP Nagar,Bangalore,600,98,580, Today
244,Dr. Vignessh Raj,Dermatologist,16,Dr. RAJ's Centre for Skin & Hair,Whitefield,Bangalore,700,98,286, Today
245,Dr. Neelima Sharma,Dermatologist,24,Manipal Hospital,Jayanagar 9 Block,Bangalore,650,95,27, Today
246,Dr. Parthasarathi Dutta Roy,Dermatologist,20,Dr. Partha Sarathi's Asian Hair and Skin Hospitals,MG Road,Bangalore,700,89,1314, Today
247,Dr. Jyothi Menon,Dermatologist,22,Oliva Skin & Hair Clinic,Koramangala 7 Block,Bangalore,600,96,33, Today
248,Dr. Sankeerth Vijayakumar,Dermatologist,13,Dermaville,HSR Layout,Bangalore,600,97,156, Today
249,Dr. Deepa,Dermatologist,15,Kritash Skin and Asthetic Clinic,Sarjapur Road,Bangalore,600,98,90, Today
250,Dr. Janet Alexander Castelino,Dermatologist,30,DermaZeal Clinic,HSR Layout,Bangalore,1000,92,3318, Today
251,Dr. Kisalay Saurav,Dermatologist,20,Dr. Saurav's Skin Clinic,Kalyan Nagar,Bangalore,700,93,115, Today
252,Dr. Sheelavathi Natraj,Dermatologist,19,Sapphire Skin and Aesthetics Clinic,JP Nagar,Bangalore,700,94,583, Today
255,Dr. B Anand,Dermatologist,17,SmilenGlow Dental and Skin Hospital,Karkhana,Hyderabad,600,97,192, Today
256,Dr. Shravya G,Dermatologist,17,Anceita Skin and Hair Clinic,Jubilee Hills,Hyderabad,800,92,203, Today
257,Dr. G L Sitara,Dermatologist,13,Dr Sitara Advanced Skin And Hair Clinic,Madinaguda,Hyderabad,500,97,287, Today
258,Dr. Harika Ramisetty,Dermatologist,14,TruSkin Dermatology Lasers and Anti-Aging Clinic,Madhapur,Hyderabad,600,99,59, Today
259,Dr. V.Shirisha,Dermatologist,17,Shirisha Skin & Hair Clinic,Kondapur,Hyderabad,650,93,79, Today
260,Dr. Madhavi Pudi,Dermatologist,16,Dr. Madhavis Advanced Skin Hair and Laser Clinic,Balkampet,Hyderabad,800,91,554, Today
261,Dr. Soumya Podduturi,Dermatologist,13,Oliva Skin & Hair Clinic,Secunderabad,Hyderabad,600,96,204, Today
262,Dr. Uma Chakravadhanula,Dermatologist,29,Idea Clinics,Madhapur,Hyderabad,700,98,31, Today
263,Dr. Meghana,Dermatologist,20,Oliva Skin & Hair Clinic,Banjara Hills,Hyderabad,600,99,111, Today
264,Dr. Mallikarjun,Dermatologist,10,DIVI Speciality Clinics,Chanda Nagar,Hyderabad,400,98,61, Today
266,Dr. Subhashini Mohan,Dermatologist,17,Apollo Spectra Hospital,Alwarpet,Chennai,1000,96,17, Today
267,Dr. Jyothsna,Dermatologist,12,"Curves Cosmetic Surgery, Skin & Laser Clinic",Saligramam,Chennai,700,96,142, Today
268,Dr. Col Rajagopal A,Dermatologist,61,Apollo Hospital,Greams Road,Chennai,1000,100,4, Today
269,Dr. B.Sindhu Raaghavi,Dermatologist,13,Carves Skin Clinic,Velachery,Chennai,700,98,219, Today
270,Dr. Sukanya Mathupal,Dermatologist,23,Dr. Rela Institute & Medical Centre,Chromepet,Chennai,600,94,95, Today
271,Dr. Snehalatha,Dermatologist,18,Nila Skin Care Clinic,Tambaram East,Chennai,750,92,234, Today
272,Dr. Ganga Ravikumar,Dermatologist,33,Dermis Skin & Hair Clinic,Adyar,Chennai,700,96,255, Today
273,Dr. Rajeshwari,Dermatologist,20,Dr.Rajeshwari's Skin & Hair Care Private Limited,T Nagar,Chennai,700,83,497, Today
274,Dr. Cordelia Babitha,Dermatologist,19,Avira Skin and Hair Clinic,Besant Nagar,Chennai,600,100,44, Today
275,Dr. Senthil Sivaprakasam,Dermatologist,18,Radiance Skin And Hair Care,Kilpauk,Chennai,600,99,51, Today
278,Dr. Rameshwar Gutte,Dermatologist,19,Dermodent Clinic,Kanjurmarg,Mumbai,500,95,86, Today
279,Dr. Resham Vasani Bhojani,Dermatologist,24,BHOJANI CLINIC,Matunga,Mumbai,1700,99,261, Today
280,Dr. Kiran Katkar,Dermatologist,38,Dr Kiran Katkar's Dermis Skin Wellness Clinic Lase,Dadar West,Mumbai,1200,93,130, Today
281,Dr. Neha V Shah,Dermatologist,14,Skin Vogue Clinic,Ghatkopar East,Mumbai,1000,99,119, Today
282,Dr. Vaishali Kanthi,Dermatologist,25,Luvayaa Skin Clinic,Bhandup West,Mumbai,800,87,56, Today
283,Dr. Sejal Saheta,Dermatologist,19,Inurskn - Skin & Hair Clinic,Powai,Mumbai,1000,95,260, Today
284,Dr. Pallavi Rathi,Dermatologist,19,My Skin My Health,Andheri East,Mumbai,1000,90,261, Today
285,Dr. Shubhangi Mahajan,Dermatologist,13,Skin Omega Clinic,Parel,Mumbai,800,100,58, Today
286,Dr. Sarika Holmukhe,Dermatologist,18,Dr Skinn Clinic,Andheri West,Mumbai,1000,95,110, Today
287,Dr. Raina Nahar,Dermatologist,15,Kaizen Skin Clinic,Andheri West,Mumbai,1000,92,135, Today
290,Dr. Sonal Chavan,Dermatologist,17,Dr. Sonnal Chavaan Aesthetic Clinic,Pimple Saudagar,Pune,700,90,396, Today
291,Dr. Rajshree Patil,Dermatologist,25,Kimaya Skin Clinic,Aundh,Pune,500,90,217, Today
292,Dr. L K Desai,Dermatologist,28,"Dr. Desai Dermacare- Skin, Hair & Laser Clinic",Sopan Baug,Pune,500,94,139, Today
293,Dr. K R Chandvania,Dermatologist,44,Pallavi Laser Centre,Pimpri-Chinchwad,Pune,900,83,90, Today
294,Dr. Pradeep Kumari,Dermatologist,20,Skin And Surgery International & Asia Institute Of Hair Transplant,Viman Nagar,Pune,700,96,670, Today
295,Dr. Mohan Darbastwar,Dermatologist,16,The Skin Hair Laser & Cosmetology Clinic,Koregaon Park,Pune,600,97,255, Today
296,Dr. Nandini Teli,Dermatologist,14,Alpha Superspeciality Hospital,Wakad,Pune,800,91,424, Today
297,Dr. Amit S Murkute,Dermatologist,13,Elite Skin & Hair Clinic,Wakad,Pune,600,96,16, Today
298,Dr. Ravi Kothari,Dermatologist,20, Sparsh Skin Hair Laser Clinic,Aundh,Pune,500,86,117, Today
299,Dr. Patil Leena Rajendra,Dermatologist,8,MySkin - Skin and Hair Refiner,Viman Nagar,Pune,500,96,14, Today
302,Dr. Vijay Singhal,Dermatologist,18,Zenith Skin Hair & Dental Centre,Punjabi Bagh,Delhi,800,93,152, Today
303,Dr. Indu Ballani,Dermatologist,18,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1000,91,18, Today
304,Dr. A J Kanwar,Dermatologist,52,Dr AJ Kanwar Skin Clinic,Greater Kailash Part 1,Delhi,1500,96,387, Today
305,Dr. Deepti  Shrivastava,Dermatologist,28,Skin Hair & You,Anand Vihar,Delhi,800,95,319, Today
306,Dr. Jatin Sidhwa,Dermatologist,8,SIDHWA SKIN CLINIC,Vasant Kunj,Delhi,800,98,44, Today
307,Dr. Richa Sharma,Dermatologist,26,Twacha Skin Clinic,Dwarka,Delhi,1500,96,137, Today
308,Dr. Jalpa Jani,Dermatologist,21,Klarity Skin Clinic,Greater Kailash Part 2,Delhi,1000,96,65, Today
309,Dr. Prateek Sondhi,Dermatologist,13,Derma Circles: Doctors from AIIMS,South Extension 2,Delhi,1200,97,381, Today
310,Dr. Manu Saxena,Dermatologist,35,Apollo Spectra Hospital,Greater Kailash Part 1,Delhi,1000,75,2, Today
311,Dr. Anuva Bansal,Dermatologist,10,BLK-Max Super Speciality Hospital,Pusa Road,Delhi,1400,100,1, Today
313,Dr. Reeja Mariam George,Dermatologist,15,Oliva Skin & Hair Clinic,Park Street,Kolkata,600,100,71, Today
314,Dr. Debatri Datta,Dermatologist,8,Oliva Skin & Hair Clinic,Salt Lake,Kolkata,600,97,104, Today
315,Dr. Anupam Das,Dermatologist,8,IRIS Hospital,Baghajatin,Kolkata,600,100,2, Today
316,Dr. Khushbu Tantia,Dermatologist,10,La Derma Skin & Hair Clinic,Salt Lake,Kolkata,600,90,47, Today
317,Dr. Barnali Dutta,Dermatologist,27,Oliva Skin & Hair Clinic,Jodhpur Park,Kolkata,600,95,81, Today
318,Dr. Tripathy Sanjita,Dermatologist,17,Oliva Skin & Hair Clinic,Park Street,Kolkata,600,86,13, Today
319,Dr. Priyanka Aggarwal,Dermatologist,14,Re-Incarnation The Complete Skin Care Clinic,New Town,Kolkata,1000,93,43, Today
320,Dr. Farhat Fatima,Dermatologist,7,Oliva Skin & Hair Clinic,Jodhpur Park,Kolkata,600,100,6, Today
321,Dr. Nidhi jindal,Dermatologist,18,Oliva Skin & Hair Clinic,Salt Lake,Kolkata,600,97,42, Today
322,Dr. Soumya Kanti Datta,Dermatologist,5,La Derma Skin & Hair Clinic,Park Street,Kolkata,600,100,1, Today
405,Dr. Sumanth Shetty,Dentist,24,Chisel Dental,Koramangala,Bangalore,500,97,2602, Today
406,Dr. Ganesh Shetty,Dentist,25,Dental and Orthodontic Clinic,Kalyan Nagar,Bangalore,500,98,956, Today
407,Dr. Akshai Shetty,Dentist,26,Aesthete Lifestyle Dentistry,HSR Layout,Bangalore,500,97,101, Today
408,Dr. Baswaraj Biradar,Dentist,26,Impressions Dental Specialities,Sahakaranagar,Bangalore,500,99,425, Today
